S,keyComparisons0
0,1536909
1,1536909
2,1536909
3,1536764
4,1537174
5,1537174
6,1555399
7,1558599
8,1558599
9,1558599
10,1558599
11,1558599
12,1620571
13,1639993
14,1639993
15,1639993
16,1639993
17,1639993
18,1639993
19,1639993
20,1639993
21,1639993
22,1639993
23,1639993
24,1764594
25,1862319
26,1862319
27,1862319
28,1862319
29,1862319
30,1862319
31,1862319
32,1862319
33,1862319
34,1862319
35,1862319
36,1862319
37,1862319
38,1862319
39,1862319
40,1862319
