S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,S,Average
0,120443,120462,120414,120436,120383,120461,120488,120498,120457,120526,120461,120447,120472,120316,120534,120483,120336,120441,120436,120379,120412,120421,120384,120400,120509,120499,120490,120277,120452,120477,120594,120454,120371,120383,120404,120432,120449,120423,120469,120502,120383,120468,120434,120498,120438,120520,120424,120562,120360,120492,120472,120463,120427,120504,120518,120459,120415,120441,120419,120566,120472,120417,120414,120516,120350,120491,120477,120365,120481,120341,120419,120421,120414,120401,120467,120379,120324,120461,120419,120511,120530,120392,120413,120477,120616,120424,120565,120444,120465,120406,120471,120411,120428,120392,120506,120400,120451,120440,120401,120473,0,120445.83
1,120443,120462,120414,120436,120383,120461,120488,120498,120457,120526,120461,120447,120472,120316,120534,120483,120336,120441,120436,120379,120412,120421,120384,120400,120509,120499,120490,120277,120452,120477,120594,120454,120371,120383,120404,120432,120449,120423,120469,120502,120383,120468,120434,120498,120438,120520,120424,120562,120360,120492,120472,120463,120427,120504,120518,120459,120415,120441,120419,120566,120472,120417,120414,120516,120350,120491,120477,120365,120481,120341,120419,120421,120414,120401,120467,120379,120324,120461,120419,120511,120530,120392,120413,120477,120616,120424,120565,120444,120465,120406,120471,120411,120428,120392,120506,120400,120451,120440,120401,120473,1,120445.83
2,120443,120462,120414,120436,120383,120461,120488,120498,120457,120526,120461,120447,120472,120316,120534,120483,120336,120441,120436,120379,120412,120421,120384,120400,120509,120499,120490,120277,120452,120477,120594,120454,120371,120383,120404,120432,120449,120423,120469,120502,120383,120468,120434,120498,120438,120520,120424,120562,120360,120492,120472,120463,120427,120504,120518,120459,120415,120441,120419,120566,120472,120417,120414,120516,120350,120491,120477,120365,120481,120341,120419,120421,120414,120401,120467,120379,120324,120461,120419,120511,120530,120392,120413,120477,120616,120424,120565,120444,120465,120406,120471,120411,120428,120392,120506,120400,120451,120440,120401,120473,2,120445.83
3,120417,120491,120411,120462,120412,120463,120481,120463,120478,120547,120519,120451,120454,120343,120503,120472,120361,120463,120432,120395,120441,120413,120397,120382,120470,120471,120448,120259,120427,120494,120572,120424,120367,120434,120388,120446,120405,120413,120477,120476,120376,120476,120447,120479,120447,120490,120469,120537,120351,120488,120507,120507,120459,120504,120498,120488,120407,120436,120449,120558,120501,120387,120448,120480,120350,120494,120477,120320,120462,120355,120442,120446,120418,120431,120458,120400,120330,120462,120421,120508,120504,120412,120400,120472,120581,120443,120569,120447,120435,120433,120469,120374,120435,120381,120490,120379,120439,120476,120389,120465,3,120445.78
4,120488,120551,120464,120515,120480,120520,120547,120534,120558,120612,120577,120509,120523,120393,120556,120541,120438,120523,120488,120444,120513,120468,120459,120440,120526,120542,120504,120315,120484,120537,120624,120483,120413,120517,120458,120499,120482,120463,120533,120508,120430,120536,120527,120549,120481,120560,120500,120602,120422,120550,120551,120588,120520,120538,120544,120539,120483,120497,120512,120578,120582,120444,120482,120547,120396,120545,120549,120399,120506,120417,120499,120500,120476,120482,120544,120477,120357,120508,120493,120580,120571,120487,120460,120528,120637,120502,120635,120493,120483,120460,120551,120464,120498,120437,120548,120427,120501,120521,120457,120532,4,120505.11
5,121485,121487,121401,121477,121507,121546,121591,121525,121559,121597,121547,121523,121560,121344,121468,121508,121483,121444,121405,121388,121363,121447,121418,121384,121566,121552,121524,121279,121526,121481,121609,121451,121429,121504,121507,121454,121405,121522,121466,121499,121346,121575,121500,121504,121451,121516,121517,121667,121418,121542,121497,121558,121531,121500,121517,121497,121449,121498,121443,121535,121682,121431,121432,121482,121375,121542,121460,121381,121559,121342,121461,121576,121401,121426,121595,121453,121351,121528,121361,121596,121554,121450,121399,121550,121656,121522,121699,121497,121557,121399,121465,121430,121464,121420,121534,121472,121456,121581,121492,121606,5,121489.29
6,121485,121487,121401,121477,121507,121546,121591,121525,121559,121597,121547,121523,121560,121344,121468,121508,121483,121444,121405,121388,121363,121447,121418,121384,121566,121552,121524,121279,121526,121481,121609,121451,121429,121504,121507,121454,121405,121522,121466,121499,121346,121575,121500,121504,121451,121516,121517,121667,121418,121542,121497,121558,121531,121500,121517,121497,121449,121498,121443,121535,121682,121431,121432,121482,121375,121542,121460,121381,121559,121342,121461,121576,121401,121426,121595,121453,121351,121528,121361,121596,121554,121450,121399,121550,121656,121522,121699,121497,121557,121399,121465,121430,121464,121420,121534,121472,121456,121581,121492,121606,6,121489.29
7,121485,121487,121401,121477,121507,121546,121591,121525,121559,121597,121547,121523,121560,121344,121468,121508,121483,121444,121405,121388,121363,121447,121418,121384,121566,121552,121524,121279,121526,121481,121609,121451,121429,121504,121507,121454,121405,121522,121466,121499,121346,121575,121500,121504,121451,121516,121517,121667,121418,121542,121497,121558,121531,121500,121517,121497,121449,121498,121443,121535,121682,121431,121432,121482,121375,121542,121460,121381,121559,121342,121461,121576,121401,121426,121595,121453,121351,121528,121361,121596,121554,121450,121399,121550,121656,121522,121699,121497,121557,121399,121465,121430,121464,121420,121534,121472,121456,121581,121492,121606,7,121489.29
8,121485,121487,121401,121477,121507,121546,121591,121525,121559,121597,121547,121523,121560,121344,121468,121508,121483,121444,121405,121388,121363,121447,121418,121384,121566,121552,121524,121279,121526,121481,121609,121451,121429,121504,121507,121454,121405,121522,121466,121499,121346,121575,121500,121504,121451,121516,121517,121667,121418,121542,121497,121558,121531,121500,121517,121497,121449,121498,121443,121535,121682,121431,121432,121482,121375,121542,121460,121381,121559,121342,121461,121576,121401,121426,121595,121453,121351,121528,121361,121596,121554,121450,121399,121550,121656,121522,121699,121497,121557,121399,121465,121430,121464,121420,121534,121472,121456,121581,121492,121606,8,121489.29
9,122485,122528,122478,122433,122461,122487,122621,122486,122575,122753,122623,122578,122526,122310,122415,122519,122464,122412,122423,122428,122297,122476,122500,122343,122474,122526,122551,122233,122491,122463,122587,122505,122517,122505,122548,122519,122331,122547,122619,122466,122302,122596,122516,122521,122523,122480,122465,122656,122472,122583,122555,122573,122480,122351,122467,122448,122457,122606,122444,122551,122810,122358,122442,122523,122435,122483,122364,122404,122632,122415,122490,122640,122465,122539,122585,122502,122287,122558,122302,122639,122685,122414,122416,122597,122670,122500,122653,122518,122555,122369,122589,122344,122469,122395,122523,122551,122404,122603,122485,122554,9,122497.16
