S,keyComparisons0,keyComparisons1,keyComparisons2,keyComparisons3,keyComparisons4,keyComparisons5,keyComparisons6,keyComparisons7,keyComparisons8,keyComparisons9,keyComparisons10,keyComparisons11,keyComparisons12,keyComparisons13,keyComparisons14,keyComparisons15,keyComparisons16,keyComparisons17,keyComparisons18,keyComparisons19,keyComparisons20,keyComparisons21,keyComparisons22,keyComparisons23,keyComparisons24,keyComparisons25,keyComparisons26,keyComparisons27,keyComparisons28,keyComparisons29,keyComparisons30,keyComparisons31,keyComparisons32,keyComparisons33,keyComparisons34,keyComparisons35,keyComparisons36,keyComparisons37,keyComparisons38,keyComparisons39,keyComparisons40,keyComparisons41,keyComparisons42,keyComparisons43,keyComparisons44,keyComparisons45,keyComparisons46,keyComparisons47,keyComparisons48,keyComparisons49,keyComparisons50,keyComparisons51,keyComparisons52,keyComparisons53,keyComparisons54,keyComparisons55,keyComparisons56,keyComparisons57,keyComparisons58,keyComparisons59,keyComparisons60,keyComparisons61,keyComparisons62,keyComparisons63,keyComparisons64,keyComparisons65,keyComparisons66,keyComparisons67,keyComparisons68,keyComparisons69,keyComparisons70,keyComparisons71,keyComparisons72,keyComparisons73,keyComparisons74,keyComparisons75,keyComparisons76,keyComparisons77,keyComparisons78,keyComparisons79,keyComparisons80,keyComparisons81,keyComparisons82,keyComparisons83,keyComparisons84,keyComparisons85,keyComparisons86,keyComparisons87,keyComparisons88,keyComparisons89,keyComparisons90,keyComparisons91,keyComparisons92,keyComparisons93,keyComparisons94,keyComparisons95,keyComparisons96,keyComparisons97,keyComparisons98,keyComparisons99,,Average
0,18669266,18669725,18668757,18669200,18668003,18669914,18670385,18669327,18668737,18669697,18669271,18668385,18669086,18669202,18670390,18669859,18668530,18669631,18669670,18669089,18669076,18669223,18669654,18669203,18669113,18669495,18669089,18669306,18669607,18670190,18668337,18668776,18669396,18669151,18668754,18668431,18670354,18669539,18669576,18669814,18669082,18669712,18669456,18669920,18668731,18668454,18669213,18668531,18669013,18669129,18669919,18668584,18669622,18668721,18669202,18668657,18668598,18669344,18667326,18669694,18669665,18669633,18669774,18668253,18668984,18669910,18669869,18669389,18669766,18669691,18670044,18668862,18669376,18669303,18669431,18669422,18669220,18669551,18668866,18669144,18669419,18669584,18669235,18668682,18669585,18669300,18669651,18669824,18669741,18668836,18668352,18669897,18669242,18669009,18669191,18670056,18668520,18668580,18668520,18669206,,18669256.99
1,18669266,18669725,18668757,18669200,18668003,18669914,18670385,18669327,18668737,18669697,18669271,18668385,18669086,18669202,18670390,18669859,18668530,18669631,18669670,18669089,18669076,18669223,18669654,18669203,18669113,18669495,18669089,18669306,18669607,18670190,18668337,18668776,18669396,18669151,18668754,18668431,18670354,18669539,18669576,18669814,18669082,18669712,18669456,18669920,18668731,18668454,18669213,18668531,18669013,18669129,18669919,18668584,18669622,18668721,18669202,18668657,18668598,18669344,18667326,18669694,18669665,18669633,18669774,18668253,18668984,18669910,18669869,18669389,18669766,18669691,18670044,18668862,18669376,18669303,18669431,18669422,18669220,18669551,18668866,18669144,18669419,18669584,18669235,18668682,18669585,18669300,18669651,18669824,18669741,18668836,18668352,18669897,18669242,18669009,18669191,18670056,18668520,18668580,18668520,18669206,,18669256.99
2,18669266,18669725,18668757,18669200,18668003,18669914,18670385,18669327,18668737,18669697,18669271,18668385,18669086,18669202,18670390,18669859,18668530,18669631,18669670,18669089,18669076,18669223,18669654,18669203,18669113,18669495,18669089,18669306,18669607,18670190,18668337,18668776,18669396,18669151,18668754,18668431,18670354,18669539,18669576,18669814,18669082,18669712,18669456,18669920,18668731,18668454,18669213,18668531,18669013,18669129,18669919,18668584,18669622,18668721,18669202,18668657,18668598,18669344,18667326,18669694,18669665,18669633,18669774,18668253,18668984,18669910,18669869,18669389,18669766,18669691,18670044,18668862,18669376,18669303,18669431,18669422,18669220,18669551,18668866,18669144,18669419,18669584,18669235,18668682,18669585,18669300,18669651,18669824,18669741,18668836,18668352,18669897,18669242,18669009,18669191,18670056,18668520,18668580,18668520,18669206,,18669256.99
3,18669297,18669797,18668633,18669049,18667895,18669810,18670309,18669425,18668864,18669874,18669341,18668344,18669258,18669298,18670278,18669863,18668390,18669646,18669730,18668987,18669179,18669188,18669655,18669069,18669252,18669459,18668855,18669066,18669508,18670080,18668418,18668904,18669339,18669046,18668512,18668529,18670329,18669761,18669612,18669732,18669219,18669849,18669501,18669918,18669058,18668475,18669375,18668602,18669277,18669099,18669836,18668643,18669738,18668652,18669116,18668645,18668609,18669435,18667227,18669832,18669794,18669738,18669939,18668470,18668920,18670002,18669887,18669621,18669832,18669733,18669824,18668634,18669500,18669173,18669339,18669431,18669210,18669497,18668981,18669197,18669251,18669556,18669429,18668849,18669600,18669375,18669352,18669934,18669773,18668948,18668536,18670012,18669380,18668989,18669024,18670095,18668513,18668650,18668511,18669138,,18669273.24
4,18723206,18722325,18722159,18722479,18721517,18723469,18723560,18723268,18722397,18723863,18723349,18721489,18722340,18723174,18723673,18724541,18721798,18722661,18722826,18722517,18722516,18722772,18722632,18722664,18722804,18722354,18721989,18722408,18722801,18723442,18721800,18722304,18722365,18722756,18722401,18722441,18722943,18723267,18722398,18723376,18723289,18723964,18723363,18722170,18722902,18721617,18722762,18722461,18721930,18721898,18723145,18722020,18723021,18721370,18722967,18721785,18722797,18722406,18720848,18722807,18723730,18723345,18722391,18721863,18722480,18723043,18723545,18723132,18723182,18723698,18723849,18721278,18721582,18723823,18722607,18723238,18723061,18724730,18721724,18722939,18723402,18722843,18723303,18722071,18723931,18722589,18723158,18723434,18723049,18722080,18721888,18723517,18722580,18722040,18721924,18724178,18722034,18722372,18722071,18722730,,18722730
5,18723206,18722325,18722159,18722479,18721517,18723469,18723560,18723268,18722397,18723863,18723349,18721489,18722340,18723174,18723673,18724541,18721798,18722661,18722826,18722517,18722516,18722772,18722632,18722664,18722804,18722354,18721989,18722408,18722801,18723442,18721800,18722304,18722365,18722756,18722401,18722441,18722943,18723267,18722398,18723376,18723289,18723964,18723363,18722170,18722902,18721617,18722762,18722461,18721930,18721898,18723145,18722020,18723021,18721370,18722967,18721785,18722797,18722406,18720848,18722807,18723730,18723345,18722391,18721863,18722480,18723043,18723545,18723132,18723182,18723698,18723849,18721278,18721582,18723823,18722607,18723238,18723061,18724730,18721724,18722939,18723402,18722843,18723303,18722071,18723931,18722589,18723158,18723434,18723049,18722080,18721888,18723517,18722580,18722040,18721924,18724178,18722034,18722372,18722071,18722730,,18722730
6,18723206,18722325,18722159,18722479,18721517,18723469,18723560,18723268,18722397,18723863,18723349,18721489,18722340,18723174,18723673,18724541,18721798,18722661,18722826,18722517,18722516,18722772,18722632,18722664,18722804,18722354,18721989,18722408,18722801,18723442,18721800,18722304,18722365,18722756,18722401,18722441,18722943,18723267,18722398,18723376,18723289,18723964,18723363,18722170,18722902,18721617,18722762,18722461,18721930,18721898,18723145,18722020,18723021,18721370,18722967,18721785,18722797,18722406,18720848,18722807,18723730,18723345,18722391,18721863,18722480,18723043,18723545,18723132,18723182,18723698,18723849,18721278,18721582,18723823,18722607,18723238,18723061,18724730,18721724,18722939,18723402,18722843,18723303,18722071,18723931,18722589,18723158,18723434,18723049,18722080,18721888,18723517,18722580,18722040,18721924,18724178,18722034,18722372,18722071,18722730,,18722730
7,18816859,18815672,18815225,18816075,18815197,18816901,18816635,18816275,18816289,18817077,18816311,18815206,18815518,18816698,18816859,18818169,18814715,18815691,18815962,18815808,18815989,18817236,18816544,18815052,18816127,18815467,18815334,18815897,18815832,18817211,18815975,18814927,18816323,18815972,18815816,18816775,18816405,18816342,18816239,18817120,18816353,18817267,18816611,18815425,18815911,18814806,18816927,18815797,18815436,18814466,18815994,18815675,18815985,18814940,18816581,18815973,18816183,18815584,18814139,18816114,18817888,18816861,18815102,18814382,18815466,18816531,18816925,18816884,18816599,18816992,18817163,18814843,18815047,18816570,18815285,18816080,18815951,18818911,18815312,18816385,18816427,18816512,18816886,18815287,18817302,18816332,18815477,18817315,18815980,18814663,18814027,18816975,18815778,18815450,18815020,18817618,18816026,18816377,18816108,18815796,,18816084.25
8,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
9,19067572,19065388,19066382,19068712,19066798,19068351,19068395,19068651,19068859,19068450,19067736,19067914,19067643,19068710,19069031,19070056,19066605,19067663,19067517,19068358,19067592,19068322,19068220,19066993,19068057,19066754,19066861,19068079,19068228,19070120,19066777,19065982,19066814,19067162,19067368,19068000,19068380,19067709,19066999,19068422,19069674,19068692,19069373,19065860,19068775,19068531,19069916,19068258,19067338,19066772,19066400,19067119,19068016,19068528,19067306,19066964,19067433,19065816,19065662,19067596,19068110,19066526,19065037,19066247,19067764,19067323,19067664,19069220,19066778,19069435,19068662,19067485,19065070,19067954,19067519,19066781,19066731,19070718,19068230,19067694,19067790,19068350,19067417,19067179,19070617,19068080,19066622,19068647,19068595,19067484,19066642,19068067,19069579,19067492,19066369,19070162,19067053,19069610,19066901,19065279,,19067745.42
