arraySize,keyComparisons_S0,keyComparisons_S3,keyComparisons_S6,keyComparisons_S9,keyComparisons_S12,keyComparisons_S15,keyComparisons_S18,keyComparisons_S21,keyComparisons_S24,keyComparisons_S27,keyComparisons_S30
1000,8723,8726,8786,9102,9102,9500,10223,10223,10223,10223,10223
1500,13961,13978,14260,14260,15404,15404,15404,15404,18610,18610,18610
2000,19375,19372,19459,20136,20136,20930,22604,22604,22604,22604,22604
2500,25088,25084,25358,25633,26800,26800,26800,30804,30804,30804,30804
3000,30920,30895,31548,31548,34017,34017,34017,34017,40359,40359,40359
3500,36832,36816,37020,37794,37794,41255,41255,41255,41255,46984,49961
4000,42791,42795,42973,44369,44369,45868,49050,49050,49050,49050,49050
4500,48903,48910,49291,51435,51435,51435,57935,57935,57935,57935,57935
5000,55230,55196,55727,56180,58578,58578,58578,67204,67204,67204,67204
5500,61445,61462,62379,62379,66095,66095,66095,71349,76636,76636,76636
6000,67876,67860,68935,68935,73525,73525,73525,73525,86482,86482,86482
6500,74256,74268,75092,75779,77314,81357,81357,81357,81357,96576,96576
7000,80641,80626,81014,82611,82611,89747,89747,89747,89747,101470,108051
7500,87223,87232,87533,89860,89860,97754,97754,97754,97754,97754,118812
8000,93663,93668,94092,97120,97120,100341,106759,106759,106759,106759,106759
8500,100344,100331,100920,104327,104327,104327,115452,115452,115452,115452,115452
9000,107107,107089,107861,112073,112073,112073,124980,124980,124980,124980,124980
9500,113741,113726,114614,117749,119527,119527,125797,133894,133894,133894,133894
10000,120450,120454,121497,122470,127096,127096,127096,143718,143718,143718,143718
15000,189285,189287,189977,194628,194628,210871,210871,210871,210871,210871,253841
20000,260975,260991,263041,264945,273929,273929,273929,306128,306128,306128,306128
25000,334240,334152,338772,339651,355200,360342,360342,360342,391539,416123,416123
30000,408563,408573,409920,419355,419355,451835,451835,451835,451835,451835,536884
35000,484551,484544,487245,502671,502671,502671,550162,550162,550162,550162,550162
40000,561887,561916,566033,569995,587980,587980,587980,655115,655115,655115,655115
45000,639570,639550,646601,646601,677114,677114,677114,679374,763055,763055,763055
50000,717997,718051,727334,728909,760139,770071,770071,770071,833174,882366,882366
55000,797392,797440,801934,813452,813452,865335,865335,865335,865335,1005374,1005374
60000,877221,877258,880081,898472,898472,963421,963421,963421,963421,963421,1132550
65000,957183,957191,961255,985523,985523,994761,1065583,1065583,1065583,1065583,1065583
70000,1038920,1038982,1044153,1074006,1074006,1074006,1168862,1168862,1168862,1168862,1168862
75000,1121285,1121331,1128354,1157361,1164683,1164683,1239432,1277520,1277520,1277520,1277520
80000,1203774,1203822,1212224,1220332,1256325,1256325,1256325,1388030,1388030,1388030,1388030
85000,1286382,1286270,1297355,1297355,1350285,1350285,1350285,1503481,1503481,1503481,1503481
90000,1369417,1369334,1383445,1383445,1444221,1444221,1444221,1448402,1618851,1618851,1618851
95000,1452927,1452759,1470444,1470444,1541311,1541311,1541311,1541311,1738923,1738923,1738923
100000,1536392,1536294,1554799,1557994,1620610,1640908,1640908,1640908,1766442,1863980,1863980
