arraySize,keyComparisons
1000,8786
1010,8861
1020,8980
1030,9087
1040,9160
1050,9277
1060,9340
1070,9493
1080,9580
1090,9680
1100,9771
1110,9878
1120,9985
1130,10080
1140,10182
1150,10284
1160,10424
1170,10512
1180,10611
1190,10679
1200,10792
1210,10921
1220,11046
1230,11130
1240,11175
1250,11322
1260,11447
1270,11488
1280,11596
1290,11771
1300,11842
1310,11951
1320,12047
1330,12164
1340,12259
1350,12349
1360,12454
1370,12548
1380,12660
1390,12800
1400,12901
1410,12992
1420,13135
1430,13202
1440,13316
1450,13426
1460,13526
1470,13624
1480,13727
1490,13882
1500,13960
1510,14039
1520,14151
1530,14297
1540,14391
1550,14540
1560,14602
1570,14724
1580,14849
1590,14936
1600,14977
1610,15184
1620,15283
1630,15408
1640,15541
1650,15631
1660,15643
1670,15808
1680,15950
1690,16096
1700,16129
1710,16264
1720,16406
1730,16465
1740,16601
1750,16740
1760,16859
1770,16910
1780,17014
1790,17170
1800,17284
1810,17384
1820,17492
1830,17627
1840,17752
1850,17835
1860,17972
1870,18057
1880,18168
1890,18304
1900,18381
1910,18487
1920,18616
1930,18743
1940,18865
1950,18968
1960,19081
1970,19203
1980,19272
1990,19442
2000,19539
2010,19666
2020,19783
2030,19880
2040,20000
2050,20096
2060,20229
2070,20318
2080,20429
2090,20515
2100,20649
2110,20759
2120,20910
2130,20968
2140,21084
2150,21227
2160,21307
2170,21440
2180,21561
2190,21625
2200,21702
2210,21890
2220,21993
2230,22097
2240,22193
2250,22358
2260,22426
2270,22489
2280,22583
2290,22815
2300,22880
2310,23016
2320,23142
2330,23173
2340,23323
2350,23440
2360,23586
2370,23639
2380,23766
2390,23885
2400,24054
2410,24083
2420,24262
2430,24310
2440,24437
2450,24584
2460,24683
2470,24794
2480,24918
2490,25000
2500,25133
2510,25246
2520,25327
2530,25389
2540,25589
2550,25671
2560,25831
2570,25983
2580,26056
2590,26205
2600,26217
2610,26409
2620,26492
2630,26635
2640,26767
2650,26841
2660,27015
2670,27124
2680,27192
2690,27340
2700,27423
2710,27481
2720,27636
2730,27811
2740,27907
2750,28026
2760,28124
2770,28228
2780,28377
2790,28466
2800,28544
2810,28676
2820,28801
2830,28943
2840,29043
2850,29090
2860,29314
2870,29357
2880,29490
2890,29659
2900,29724
2910,29922
2920,30034
2930,30064
2940,30205
2950,30334
2960,30408
2970,30570
2980,30680
2990,30796
3000,30889
3010,31001
3020,31118
3030,31313
3040,31471
3050,31549
3060,31557
3070,31700
3080,31886
3090,31962
3100,32089
3110,32260
3120,32352
3130,32497
3140,32550
3150,32704
3160,32769
3170,32985
3180,33068
3190,33174
3200,33269
3210,33391
3220,33479
3230,33703
3240,33842
3250,33888
3260,34022
3270,34194
3280,34283
3290,34419
3300,34551
3310,34658
3320,34790
3330,34906
3340,34999
3350,35073
3360,35209
3370,35398
3380,35441
3390,35564
3400,35725
3410,35794
3420,35967
3430,36154
3440,36248
3450,36379
3460,36466
3470,36575
3480,36783
3490,36906
3500,36900
3510,37066
3520,37189
3530,37254
3540,37394
3550,37541
3560,37684
3570,37771
3580,37940
3590,38089
3600,38159
3610,38237
3620,38398
3630,38563
3640,38662
3650,38843
3660,38886
3670,39120
3680,39102
3690,39327
3700,39332
3710,39507
3720,39634
3730,39781
3740,39866
3750,39944
3760,40108
3770,40251
3780,40301
3790,40543
3800,40508
3810,40757
3820,40856
3830,40955
3840,41089
3850,41248
3860,41385
3870,41507
3880,41588
3890,41664
3900,41793
3910,42001
3920,42048
3930,42196
3940,42368
3950,42471
3960,42551
3970,42685
3980,42797
3990,42997
4000,43083
4010,43150
4020,43319
4030,43499
4040,43471
4050,43704
4060,43866
4070,43873
4080,44041
4090,44248
4100,44318
4110,44417
4120,44495
4130,44681
4140,44724
4150,44919
4160,45089
4170,45139
4180,45250
4190,45481
4200,45441
4210,45609
4220,45779
4230,45874
4240,45960
4250,46068
4260,46247
4270,46307
4280,46448
4290,46611
4300,46703
4310,46934
4320,46977
4330,47094
4340,47176
4350,47298
4360,47452
4370,47499
4380,47646
4390,47856
4400,47974
4410,48029
4420,48237
4430,48371
4440,48384
4450,48552
4460,48696
4470,48758
4480,48834
4490,49018
4500,49151
4510,49291
4520,49314
4530,49456
4540,49670
4550,49739
4560,49854
4570,49993
4580,50202
4590,50264
4600,50452
4610,50476
4620,50650
4630,50748
4640,50852
4650,51015
4660,51105
4670,51234
4680,51411
4690,51476
4700,51570
4710,51818
4720,51784
4730,51885
4740,52121
4750,52171
4760,52344
4770,52478
4780,52555
4790,52652
4800,52764
4810,52928
4820,53061
4830,53119
4840,53303
4850,53452
4860,53515
4870,53726
4880,53783
4890,53934
4900,54034
4910,54101
4920,54302
4930,54370
4940,54540
4950,54609
4960,54821
4970,54878
4980,55048
4990,55148
5000,55205
5010,55419
5020,55511
5030,55551
5040,55704
5050,55804
5060,56026
5070,56094
5080,56231
5090,56411
5100,56528
5110,56604
5120,56706
5130,56827
5140,57057
5150,57109
5160,57229
5170,57330
5180,57543
5190,57628
5200,57764
5210,57908
5220,57988
5230,58083
5240,58263
5250,58339
5260,58450
5270,58608
5280,58769
5290,58904
5300,59037
5310,59165
5320,59196
5330,59359
5340,59550
5350,59745
5360,59718
5370,59887
5380,59934
5390,60175
5400,60230
5410,60357
5420,60499
5430,60660
5440,60738
5450,60855
5460,61017
5470,61092
5480,61242
5490,61385
5500,61508
5510,61629
5520,61783
5530,61861
5540,62114
5550,62162
5560,62318
5570,62456
5580,62500
5590,62633
5600,62753
5610,62919
5620,63065
5630,63060
5640,63276
5650,63326
5660,63506
5670,63661
5680,63776
5690,63912
5700,63967
5710,64153
5720,64293
5730,64415
5740,64558
5750,64614
5760,64807
5770,64886
5780,65065
5790,65144
5800,65348
5810,65521
5820,65656
5830,65648
5840,65839
5850,65900
5860,66009
5870,66170
5880,66292
5890,66498
5900,66580
5910,66738
5920,66863
5930,66993
5940,67016
5950,67132
5960,67303
5970,67490
5980,67627
5990,67653
6000,67784
6010,68080
6020,67993
6030,68188
6040,68407
6050,68405
6060,68609
6070,68810
6080,68889
6090,68923
6100,69085
6110,69256
6120,69461
6130,69391
6140,69665
6150,69759
6160,69896
6170,70000
6180,70140
6190,70233
6200,70462
6210,70542
6220,70670
6230,70776
6240,70913
6250,71037
6260,71184
6270,71310
6280,71491
6290,71639
6300,71672
6310,71775
6320,72010
6330,72080
6340,72252
6350,72377
6360,72460
6370,72655
6380,72816
6390,72901
6400,73075
6410,73166
6420,73261
6430,73453
6440,73493
6450,73730
6460,73719
6470,73876
6480,74086
6490,74200
6500,74310
6510,74428
6520,74493
6530,74655
6540,74790
6550,75009
6560,75058
6570,75266
6580,75436
6590,75522
6600,75664
6610,75826
6620,75851
6630,76164
6640,76142
6650,76346
6660,76428
6670,76523
6680,76727
6690,76856
6700,76956
6710,77094
6720,77271
6730,77383
6740,77537
6750,77617
6760,77656
6770,77964
6780,78018
6790,78117
6800,78272
6810,78414
6820,78585
6830,78656
6840,78792
6850,78917
6860,79048
6870,79157
6880,79364
6890,79393
6900,79557
6910,79769
6920,79761
6930,79987
6940,80084
6950,80138
6960,80373
6970,80428
6980,80746
6990,80735
7000,80946
7010,81061
7020,81136
7030,81342
7040,81388
7050,81521
7060,81625
7070,81760
7080,82006
7090,82135
7100,82294
7110,82411
7120,82511
7130,82647
7140,82720
7150,82885
7160,83034
7170,83161
7180,83360
7190,83488
7200,83600
7210,83615
7220,83813
7230,83835
7240,84047
7250,84213
7260,84356
7270,84495
7280,84460
7290,84636
7300,84851
7310,85012
7320,85099
7330,85201
7340,85453
7350,85477
7360,85666
7370,85771
7380,86049
7390,86064
7400,86197
7410,86323
7420,86434
7430,86452
7440,86602
7450,86885
7460,86875
7470,87162
7480,87096
7490,87380
7500,87534
7510,87678
7520,87745
7530,87929
7540,88017
7550,88174
7560,88199
7570,88456
7580,88615
7590,88741
7600,88824
7610,88855
7620,89058
7630,89132
7640,89369
7650,89398
7660,89643
7670,89808
7680,89845
7690,89951
7700,90133
7710,90405
7720,90447
7730,90478
7740,90565
7750,90762
7760,90886
7770,91084
7780,91079
7790,91129
7800,91465
7810,91632
7820,91828
7830,91804
7840,91964
7850,92194
7860,92265
7870,92474
7880,92587
7890,92743
7900,92892
7910,92864
7920,93135
7930,93320
7940,93265
7950,93411
7960,93445
7970,93687
7980,93902
7990,93903
8000,94141
8010,94300
8020,94446
8030,94399
8040,94567
8050,94792
8060,94897
8070,95075
8080,95171
8090,95325
8100,95379
8110,95531
8120,95704
8130,95710
8140,96005
8150,96167
8160,96223
8170,96380
8180,96520
8190,96588
8200,96787
8210,96836
8220,96970
8230,97150
8240,97326
8250,97379
8260,97585
8270,97646
8280,97780
8290,98021
8300,97971
8310,98197
8320,98167
8330,98451
8340,98548
8350,98758
8360,98839
8370,99041
8380,99208
8390,99306
8400,99314
8410,99579
8420,99745
8430,99745
8440,100019
8450,100148
8460,100140
8470,100229
8480,100531
8490,100681
8500,100839
8510,100873
8520,100847
8530,101047
8540,101195
8550,101417
8560,101482
8570,101718
8580,101722
8590,101883
8600,102038
8610,101990
8620,102270
8630,102391
8640,102528
8650,102534
8660,102791
8670,103017
8680,103149
8690,103165
8700,103380
8710,103523
8720,103633
8730,103777
8740,103828
8750,103955
8760,104134
8770,104335
8780,104494
8790,104605
8800,104532
8810,104875
8820,104920
8830,105001
8840,105305
8850,105283
8860,105351
8870,105486
8880,105738
8890,105820
8900,106015
8910,106073
8920,106257
8930,106470
8940,106494
8950,106718
8960,106732
8970,106922
8980,106969
8990,107089
9000,107197
9010,107399
9020,107571
9030,107696
9040,107867
9050,107953
9060,108127
9070,108198
9080,108400
9090,108478
9100,108665
9110,108676
9120,108850
9130,108954
9140,108990
9150,109285
9160,109338
9170,109479
9180,109663
9190,109791
9200,110067
9210,110114
9220,110101
9230,110261
9240,110332
9250,110662
9260,110862
9270,110795
9280,111033
9290,111093
9300,111219
9310,111291
9320,111482
9330,111733
9340,111848
9350,111848
9360,112013
9370,112231
9380,112339
9390,112478
9400,112656
9410,112747
9420,112774
9430,112986
9440,113086
9450,113231
9460,113427
9470,113415
9480,113707
9490,113745
9500,113862
9510,114097
9520,114087
9530,114244
9540,114455
9550,114486
9560,114671
9570,114815
9580,114964
9590,115066
9600,115242
9610,115257
9620,115451
9630,115714
9640,115744
9650,115864
9660,116163
9670,116167
9680,116236
9690,116338
9700,116467
9710,116675
9720,116744
9730,116953
9740,117051
9750,117150
9760,117220
9770,117307
9780,117561
9790,117745
9800,117815
9810,117901
9820,118176
9830,118358
9840,118346
9850,118495
9860,118623
9870,118699
9880,118899
9890,119087
9900,119215
9910,119418
9920,119390
9930,119614
9940,119666
9950,119903
9960,120031
9970,120076
9980,120235
9990,120363
10000,120528
